package  com.aliencat.javabase.utils;;	package com.aliencat.javabase.utils;
/  / /  / / / / / /r/e/t/u/r/n /l/o/c/a/l/D/a/t//./wi/t//l/T/em/p/o/r/a/l/A/d/j/u/s/t/e/r/s/./f/i/r/s/t/D/a/y/O/f/M/o/n/t/h////./t/o/S/t/r/i/n/g///;/	/ / / / / / / / /r/e/t/u/r/n/ /l/o/c/a/l/D/a/t/e/./w/i/t/h/(/T/e/m/p/o/r/a/l/A/d/j/u/s/t/e/r/s/./f/i/r/s/t/D/a/y/O/f/M/o/n/t/h/(/)/)/./t/o/S/t/r/i/n/g/(/)/;/
// // /}/	/ / / / /}/
/	/
/ / / / * 	/ / / / * 
	*
*@return	* @return
*/	*/
/ / // /p/u/b/l/i/c/ /s/t/a/t/i/c/ /S/t/r/i/n/g/ /l/a/s/t/D/a/y/O/f/M/o/n/t/h//f///	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /S/t/r/i/n/g/ /l/a/s/t/D/a/y/O/f/M/o/n/t/h/(/)/ /{/
// / / / /  / / /r/e/t/u/r/n/ /l/a/s/t/D/a/y/O/f/M/o/n/t/h//c/u/r/r/e/n/t///./t/o/L/o/ca/l/D/a/t/e///f/;/	/ / / / / / / / /r/e/t/u/r/n/ /l/a/s/t/D/a/y/O/f/M/o/n/t/h/(/c/u/r/r/e/n/t/(/)/./t/o/L/o/c/a/l/D/a/t/e/(/)/)/;/
/ / / //}/	/ / / / /}/
/	/
/ / / //p/u/b/l//c/ /s/t/a/t/i/c/ /S/t/r/i/n/g /l/a//t/D/a/y//f/M/o/n/t///L/o/c/a/l/D/a/t/e/ /l/o/c/a/l/D/a/t/e// //	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /S/t/r/i/n/g/ /l/a/s/t/D/a/y/O/f/M/o/n/t/h/(/L/o/c/a/l/D/a/t/e/ /l/o/c/a/l/D/a/t/e/)/ /{/
// // / / / / /r/e/t/u/r/n//l/o/c/a/l/D/a/t/e//w/i/t/h//T/e/m/p/o/r/a/l/A/d/j/u/s/t/e/r/s/./l/a/s/t/D/a/y/O/f/M/o/n/t/hl/l/l/./t/o/S/t/r/i/n/g///;/	/ / / / / / / / /r/e/t/u/r/n/ /l/o/c/a/l/D/a/t/e/./w/i/t/h/(/T/e/m/p/o/r/a/l/A/d/j/u/s/t/e/r/s/./l/a/s/t/D/a/y/O/f/M/o/n/t/h/(/)/)/./t/o/S/t/r/i/n/g/(/)/;/
/  / / //}/	/ / / / /}/
/	/
/}	/}
