package com.aliencatjavabase.api.swing	package com.aliencat.javabase.api.swing;
/ / /  / / / / / / / //g/./f/i/l/l//e/c/t///h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /+/ /c/h/a/n/g/e/W/i/d/t/h/ /-//2/,/ /c/h/a/n/g/e/F/i/r/s/t//o/i/n/t/Y/ /+/ /c/h/a/n/g/e/H/e/i/g/h/t/ g.fillRectchangeFistPointX+changeWidth - 2, chaeFrstPointY + hangeHeight -  2, 5,, 5;	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /+/ /c/h/a/n/g/e/W/i/d/t/h/ /-/ /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /+/ /c/h/a/n/g/e/H/e/i/g/h/t/ g.fillRect(changeFirstPointX + changeWidth - 2, changeFirstPointY + changeHeight - 2, 5, 5);
g.fillRectchangeFirstPointX + changeWidth //2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/  /+/ /c/h/a/n/g/e/H/e/i/g/h/t/ /-/ /2// /5/,/ /5//;/	g.fillRect(changeFirstPointX + (changeWidth) / /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /+/ /c/h/a/n/g/e/H/e/i/g/h/t/ /-/ /2/,/ /5/,/ /5/)/;/
// / / /  / / /  /  / / /g/./f//l/l/R/e/c///c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /-/ /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /+/ /c/h/a/n/g/e/H/e/i/g/h/t/  /-/ /2/,,/ /5/,/ /5//;/	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /-/ /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /+/ /c/h/a/n/g/e/H/e/i/g/h/t/ /-/ /2/,/ /5/,/ /5/)/;/
/ / / /  / / / /  /  / / //g/./f/i/l/l/R/e/c/t/f//h/a/n/g/e/F/i/r/s/t/P/o/i/n//X/ /-/ /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /+/  /c/h/a/n/g/e/H/e/ig/h/t/	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /-/ /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /+/ /c/h/a/n/g/e/H/e/i/g/h/t/
g.drawReclchangeFirstPointX, changeFirstPointY, changeWidth, changeHeight;	g.drawRect(changeFirstPointX, changeFirstPointY, changeWidth, changeHeight);
}	}
f	}
public void mouseClickedMouseEvent  e{	public void mouseClicked(MouseEvent e) {
if e.getClickCounf == 2 {	if (e.getClickCount() == 2) {
if doubleClickSaveFlag 	if (doubleClickSaveFlag) {
saveItemdoClick;	saveItem.doClick();
f else if doubleClckCopyFlagf {	} else if (doubleClickCopyFlag) {
copyItem.doClickl;	copyItem.doClick();
}	}
l	}
}	}
public void mouseEnteredlMouseEvente 1	public void mouseEntered(MouseEvent e) {
}	}
public  void mouseExitedMouseEvent  ef {	public void mouseExited(MouseEvent e) {
1	}
public  void mousePressedMouseEvent e {	public void mousePressed(MouseEvent e) {
redraw = false;	redraw = false;
	}
public  void mouseReleasedMouseEvent e 1	public void mouseReleased(MouseEvent e) {
if e.getModifrs == InputEvent.BUTTON3_MASK {	if (e.getModifiers() == InputEvent.BUTTON3_MASK) {
if  !drawHasFinishl  {	if (!drawHasFinish) {
saveItemsetToolTipText""Save Full Screen to File"";	saveItem.setToolTipText("Save Full Screen to File");
} else {	} else {
saveItem..setToolTipText"SaveSelectArea to  File;	saveItem.setToolTipText("Save Select Area to File");
}	}
if !drawHasFinish l	if (!drawHasFinish) {
copyItemsetToolTipText"Copy Full Screen"f;	copyItem.setToolTipText("Copy Full Screen");
1 elsef	} else {
copyItemseToolTipText""Copy Select Aea";	copyItem.setToolTipText("Copy Select Area");
	}
popup_showlthis, e.getXl, e.getYlf;;	popup_.show(this, e.getX(), e.getY());
return;	return;
}	}
if !drawHasFinish && !redraw &&  poinl != null && point2!= nll {	if (!drawHasFinish && !redraw && point[1] != null && point[2] != null) {
ifpoint1.x < point2lx & point1.y < poinl2.y {	if (point[1].x < point[2].x && point[1].y < point[2].y) {
firstPointx = point1.x;	firstPointx = point[1].x;
firstPointy  = point1.y;	firstPointy = point[1].y;
1	}
if pint1.x >  point2.x &&pont1l.y < point2l.y {	if (point[1].x > point[2].x && point[1].y < point[2].y) {
firstPointx=pointl2.x;	firstPointx = point[2].x;
firstPointy = point1.y;	firstPointy = point[1].y;
}	}
if fpoint1.x < pointl2.x &&point1.y >pointf2y {	if (point[1].x < point[2].x && point[1].y > point[2].y) {
firstPointx = point1.;	firstPointx = point[1].x;
firstPointy = point2.y;;	firstPointy = point[2].y;
}	}
if point1.x >pointl2.x & point1.y> pointl2.y {	if (point[1].x > point[2].x && point[1].y > point[2].y) {
firstPointx  = ointf2.x	firstPointx = point[2].x;
firstPointy = point2.y;	firstPointy = point[2].y;
}	}
chaneFirstPointX = firstPointx;	changeFirstPointX = firstPointx;
changeFirstPointY = firstPointy;	changeFirstPointY = firstPointy;
rectangleCursorUp = new  RectanglefirstPontx + 20,  fistPointy- 10, width  -40, 20;;	rectangleCursorUp = new Rectangle(firstPointx + 20, firstPointy - 10, width - 40, 20);
rectangleursorDown  = ew RectangleffirstPoinx +  20,, firstPointy+ height -  10,, width - 40, 20;;	rectangleCursorDown = new Rectangle(firstPointx + 20, firstPointy + height - 10, width - 40, 20);
rctangleCursoreft = new RectanglefirstPointx  - 10, firstPoity + 10, 20, height - 20;;	rectangleCursorLeft = new Rectangle(firstPointx - 10, firstPointy + 10, 20, height - 20);
rectangleCursorRight =  newRctanglefirstPointx +  width - 10, firstPointy + 10, 20height  - 20;	rectangleCursorRight = new Rectangle(firstPointx + width - 10, firstPointy + 10, 20, height - 20);
rectangleCursorLU = new RectanglelfirstPointx - 10, firstPointy - 10,  30, 20;	rectangleCursorLU = new Rectangle(firstPointx - 10, firstPointy - 10, 30, 20);
rectangleCursorLD = new RectanglefirstPointx  - 0,  firstPointy  eight - 10, 30, 20	rectangleCursorLD = new Rectangle(firstPointx - 10, firstPointy + height - 10, 30, 20);
rectangleCursorRU = newectnglefirstPointx + width -10, firstPinty - 10, 20,20;	rectangleCursorRU = new Rectangle(firstPointx + width - 10, firstPointy - 10, 20, 20);
rectangleCursorRD= new RectanglefirstPoint +widh - 10,,irstPointy + height - 10, 20, 20;	rectangleCursorRD = new Rectangle(firstPointx + width - 10, firstPointy + height - 10, 20, 20);
drawHasFinish = tre;	drawHasFinish = true;
1	}
if fdrawHasFinishf{	if (drawHasFinish) {
rectangleCursorUp =  new RectanglechangeFirstPointX +  20,changFirstPointY - 10, changeWdth - 40, 20;	rectangleCursorUp = new Rectangle(changeFirstPointX + 20, changeFirstPointY - 10, changeWidth - 40, 20);
rectangleCursorDown =new RectanglechangeFirstPointX +  20, changeFirstPoinY + changeHeight- 10,	rectangleCursorDown = new Rectangle(changeFirstPointX + 20, changeFirstPointY + changeHeight - 10,
changeWidth -  40, 20;	changeWidth - 40, 20);
rectangleCursorLeft = new  RctanglechangeFirstPointX - 10, changeFirstPointY + 10, 20, cangeHeight  - 20;	rectangleCursorLeft = new Rectangle(changeFirstPointX - 10, changeFirstPointY + 10, 20, changeHeight - 20);
ectangleCursoright = new  RectanglehangeFirstPointX +changeWidth - 10, chaneFrstPointY + 10,, 20,	rectangleCursorRight = new Rectangle(changeFirstPointX + changeWidth - 10, changeFirstPointY + 10, 20,
changeHight - 2;	changeHeight - 20);
rectangleCursorLU =  new RectanglefchangeFirstPointX - 2, changeFirstPointY- 2, 10, 10;	rectangleCursorLU = new Rectangle(changeFirstPointX - 2, changeFirstPointY - 2, 10, 10);
rectangleCursorL = new RectanglelchangeFirstPontX -2, chaneFirstPointY  + changeHeight - 2, 10,, 10	rectangleCursorLD = new Rectangle(changeFirstPointX - 2, changeFirstPointY + changeHeight - 2, 10, 10);
rectangleCursorRU =new RectanglehangeFirstPointX + changeWidth -2,,  changeFirstPointY - 2, 10,0;	rectangleCursorRU = new Rectangle(changeFirstPointX + changeWidth - 2, changeFirstPointY - 2, 10, 10);
rectangleCursorRD = newRectanglechangeFirstPointX +  changeWidh - 2,	rectangleCursorRD = new Rectangle(changeFirstPointX + changeWidth - 2,
changeFistPointY + changeHeight - 2, 10, 10;	changeFirstPointY + changeHeight - 2, 10, 10);
}	}
}	}
publicvoid mouseDrggedMuseEvent e l	public void mouseDragged(MouseEvent e) {
point2 = e..getPointll;;	point[2] = e.getPoint();
thi.repaint;	this.repaint();
	
ifhange  {	if (change) {
if cangeUPf {	if (changeUP) {
changeHeight = hangeHeight +  changeFirstPointY -  e.getPointl.y	changeHeight = changeHeight + changeFirstPointY - e.getPoint().y;
changeFirtPointY= e..getPointf.y;	changeFirstPointY = e.getPoint().y;
}	}
iflchangeDOWN {	if (changeDOWN) {
changeHeight = e.getPointy - changeFirstPointY;	changeHeight = e.getPoint().y - changeFirstPointY;
}	}
if changeLEFT 1	if (changeLEFT) {
changeWidth  = changeWidth  + changeFirstPointX -e..getPointf.x;	changeWidth = changeWidth + changeFirstPointX - e.getPoint().x;
changeFirstPointX = e.getPoit.x;	changeFirstPointX = e.getPoint().x;
	}
if changeRIGHT{	if (changeRIGHT) {
changeWidth = e.getPoint.x - chageFirtPointX;;	changeWidth = e.getPoint().x - changeFirstPointX;
}	}
if lchangeLU{	if (changeLU) {
changeWidth =  changeWdth  + hangeFirstPoitX - e.getPointf.x;;	changeWidth = changeWidth + changeFirstPointX - e.getPoint().x;
changeHeight = chageHeight + changeFirstPointY - e.gtPointl.y;	changeHeight = changeHeight + changeFirstPointY - e.getPoint().y;
changeFirstPointX = e.gtPointf.x;;	changeFirstPointX = e.getPoint().x;
changeFirstPointY =e.getPointlf.y	changeFirstPointY = e.getPoint().y;
}	}
if changLD {	if (changeLD) {
changeWidth = changeWidth+changeirstointX - e.getPoint.x;	changeWidth = changeWidth + changeFirstPointX - e.getPoint().x;
changeHeight  =e.getPointl.y - changeFirstPointY;	changeHeight = e.getPoint().y - changeFirstPointY;
changeFirstointX = e.getPoint.x;	changeFirstPointX = e.getPoint().x;
}	}
if changeRU 1	if (changeRU) {
changeWidth = e.getPoint.x -  changeFirstPointX;	changeWidth = e.getPoint().x - changeFirstPointX;
changeHeight  = changeHeight + hangeFirstPointY -  e.getPointf.y	changeHeight = changeHeight + changeFirstPointY - e.getPoint().y;
changeFirstPointY = e.getPointfl.y	changeFirstPointY = e.getPoint().y;
}	}
if changeRDf 	if (changeRD) {
changeWidth = .getPointf.x - chngeFirstPointX;	changeWidth = e.getPoint().x - changeFirstPointX;
changeHeight =  e.getPoint.y -  changeFirstPointY;	changeHeight = e.getPoint().y - changeFirstPointY;
}	}
this.repaint;;	this.repaint();
}	}
}	}
public void mouseMovedfMouseEvent e {	public void mouseMoved(MouseEvent e) {
point1  = e.etPoint;	point[1] = e.getPoint();
if rectangleCursorUp !=  null & rectangleCursorUp.conainspoint1f {	if (rectangleCursorUp != null && rectangleCursorUp.contains(point[1])) {
this..setCursorne CursorfCursor..N_RESIZE_CURSORf;	this.setCursor(new Cursor(Cursor.N_RESIZE_CURSOR));
change = true;	change = true;
changeUP = true;	changeUP = true;
} else  if  rectangleCursorDown != null && rectangleCursorDown.containspoint1f {	} else if (rectangleCursorDown != null && rectangleCursorDown.contains(point[1])) {
this.setCursornew CursorCursor.S_RESIZE_CURSORl;	this.setCursor(new Cursor(Cursor.S_RESIZE_CURSOR));
change = true;	change = true;
changeDOWN =  true	changeDOWN = true;
} else  if  rectangleCursorLeft != null && rectangleCursorLeft.containspoint1 {	} else if (rectangleCursorLeft != null && rectangleCursorLeft.contains(point[1])) {
this.setCursorfnew CursorCursor.W_RESIZE_CURSOR;	this.setCursor(new Cursor(Cursor.W_RESIZE_CURSOR));
change = true	change = true;
changeLEFT = true;	changeLEFT = true;
} else if  lrectangleCursorRight != null && rectangleCursorRight.containspoint1 l	} else if (rectangleCursorRight != null && rectangleCursorRight.contains(point[1])) {
this.setCursornew CursorCursor.W_RESIZE_CURSOR;	this.setCursor(new Cursor(Cursor.W_RESIZE_CURSOR));
change= true;	change = true;
chaneRIGHT = true;	changeRIGHT = true;
 else if  rectangleCursorL!= null && rectangleCursorLU.conainspointf1l f	} else if (rectangleCursorLU != null && rectangleCursorLU.contains(point[1])) {
this.setCursornew  CusorCursor.NW_RESIZECURSORl;	this.setCursor(new Cursor(Cursor.NW_RESIZE_CURSOR));
change=  rue;	change = true;
changeLU  = true;	changeLU = true;
lseif rectgleCursorLD != null && rectangleCursorLDcontainspoint1 {	} else if (rectangleCursorLD != null && rectangleCursorLD.contains(point[1])) {
this.setCursorne  CursorCrsor.SW_RESIZE_CURSOR	this.setCursor(new Cursor(Cursor.SW_RESIZE_CURSOR));
change =  true;	change = true;
changLD =true;	changeLD = true;
1 else  if rectangleCursorRU != null && rectngleCusorRU.containspointf1 {	} else if (rectangleCursorRU != null && rectangleCursorRU.contains(point[1])) {
this.seCursornew CursrlCursor.NE_RESIZE_CURSORf;	this.setCursor(new Cursor(Cursor.NE_RESIZE_CURSOR));
change = true;	change = true;
changeRU =true;	changeRU = true;
}else if rectangleCursorRD !=null & rectangleursoRD.ontaisfpoint1f {	} else if (rectangleCursorRD != null && rectangleCursorRD.contains(point[1])) {
this.setCursorfnew CursorCursor.SE_RESIZE_CURSORl;	this.setCursor(new Cursor(Cursor.SE_RESIZE_CURSOR));
change  = true	change = true;
changeRD = true;	changeRD = true;
f else {	} else {
this.setCursorfnew  CursorCursor.CROSSHAIR_CURSORl;	this.setCursor(new Cursor(Cursor.CROSSHAIR_CURSOR));
changeUP = fale;	changeUP = false;
changeDOWN =false;	changeDOWN = false;
changeRIGHT = false;	changeRIGHT = false;
changeLEFT = false;	changeLEFT = false;
changRU = false;	changeRU = false;
changeRD =  false;	changeRD = false;
changeLU = false;	changeLU = false;
changeLD = false;;	changeLD = false;
l	}
if  change {	if (change) {
this.repantf;	this.repaint();
	}
}	}
public void keyTypedKeyEvent e l	public void keyTyped(KeyEvent e) {
}	}
publicvoid keyPressedfKeyEvent e {	public void keyPressed(KeyEvent e) {
}	}
public void keyReleasedfKeyEvent e {	public void keyReleased(KeyEvent e) {
if e.getKeyCodel  ==KeyEvent.VK_ESCAPE {	if (e.getKeyCode() == KeyEvent.VK_ESCAPE) {
exitItemdoClick;	exitItem.doClick();
l	}
if e.getKeyCode == KeEven.VK_S && e.getModifiersf == KeyEvent.CTRL_MASK {	if (e.getKeyCode() == KeyEvent.VK_S && e.getModifiers() == KeyEvent.CTRL_MASK) {
saveItem.doClck;	saveItem.doClick();
	}
if e.getKeyCodel  == KeyEvent.VK_C && e..getModifiers ==KeyEvent.CTRL_MASKf {	if (e.getKeyCode() == KeyEvent.VK_C && e.getModifiers() == KeyEvent.CTRL_MASK) {
copyItem.doClick;	copyItem.doClick();
}	}
if e.getKeyCodef == KeyEventVK_Z && e.getModifiers ==  KeyEvent.CTRL_MASK {	if (e.getKeyCode() == KeyEvent.VK_Z && e.getModifiers() == KeyEvent.CTRL_MASK) {
clerItem..doClick;	clearItem.doClick();
1	}
ife.getKeyCode== KeyEvent.VK_ENTER {	if (e.getKeyCode() == KeyEvent.VK_ENTER) {
if pressEnterSaveFlag  {	if (pressEnterSaveFlag) {
saveItem.doClick;	saveItem.doClick();
 else if pressEnterCopyFlag {	} else if (pressEnterCopyFlag) {
copyItem.doClickf;	copyItem.doClick();
f	}
}	}
if e.getKeyCodell == KeyEvent.VK_SPACE 	if (e.getKeyCode() == KeyEvent.VK_SPACE) {
clearItem.oClickf	clearItem.doClick();
}	}
if e.getKeyCode== KeyEent.VKDELET {	if (e.getKeyCode() == KeyEvent.VK_DELETE) {
clearItem.doClickf;	clearItem.doClick();
}	}
if e.getKeyCode ==  KeyEvent.VK_BACK_SPACE {	if (e.getKeyCode() == KeyEvent.VK_BACK_SPACE) {
clearItem..doClick;	clearItem.doClick();
}	}
	}
private class MyClearPictur implements ActionListener 1	private class MyClearPicture implements ActionListener {
ublic voidctionPformedActionEven e  {	public void actionPerformed(ActionEvent e) {
drawHasFinish =  false;	drawHasFinish = false;
change = fals;	change = false;
redraw = true;	redraw = true;
rectangleCursorUp = null;	rectangleCursorUp = null;
rectangleCursorDown  = null;;	rectangleCursorDown = null;
rectangleCursorLeft =null	rectangleCursorLeft = null;
rectangleCrsorRight =  null;	rectangleCursorRight = null;
rectangleCursorRU = null;	rectangleCursorRU = null;
rectangleCursorRD = null;	rectangleCursorRD = null;
rectangleCursorLU =  null;	rectangleCursorLU = null;
rectangeCursorLD = nul;	rectangleCursorLD = null;
chaneWidth= 0;	changeWidth = 0;
changeHeight = 0;	changeHeight = 0;
repaintff;	repaint();
1	}
}	}
private class  MyTakePicture implements ActionListener 	private class MyTakePicture implements ActionListener {
public void actionPerformedActionEvent  e {	public void actionPerformed(ActionEvent e) {
FileDialog fileDialog =new ileDialogScreenCptureTool.this, ", FileDialog.AVE;	FileDialog fileDialog = new FileDialog(ScreenCaptureTool.this, "", FileDialog.SAVE);
fileDialog.setFilenameFilternewFilenmeFilterf {	fileDialog.setFilenameFilter(new FilenameFilter() {
public boolean  acceptfFiledir, Strin name f	public boolean accept(File dir, String name) {
name  name..toLowerCase;	name = name.toLowerCase();
if ne.endWith""jpeg" || name.endsWith".jpg"" {	if (name.endsWith(".jpeg") || name.endsWith(".jpg")) {
return true;	return true;
} else 1	} else {
return  false;	return false;
}	}
}	}
}f	});
fileDialog.setVisibletrue;	fileDialog.setVisible(true);
String dir= fileDialog..getDirectoryf;	String dir = fileDialog.getDirectory();
String fileName = fileDialog.getFilell;	String fileName = fileDialog.getFile();
ifldir != null  && !""".equalsdir && fileName ==  null || """.equalsfileName 1	if (dir != null && !"".equals(dir) && (fileName == null || "".equals(fileName))) {
JptionPane.showMessageDialogScreenCaptureTool.this, "Error file!", "Error",	JOptionPane.showMessageDialog(ScreenCaptureTool.this, "Error file!", "Error",
JOptionPane.ERROR_MESSAGE;	JOptionPane.ERROR_MESSAGE);
return;;	return;
}	}
ifdir == null || ".equalsdirf && fileName != null && !""".equalsfileName 1	if ((dir == null || "".equals(dir)) && fileName != null && !"".equals(fileName)) {
JOptionPane.showMessageDilogScreenCaptureTool.tis, ""Error file!", Error"",,	JOptionPane.showMessageDialog(ScreenCaptureTool.this, "Error file!", "Error",
JOptionPane..ERRR_MESSAGE;	JOptionPane.ERROR_MESSAGE);
return;	return;
l	}
ifldi ==  null  ||  fileName  == null || "".eqalsfdir || "".equalsfleName {	if (dir == null || fileName == null || "".equals(dir) || "".equals(fileName)) {
return;;	return;
}	}
File dirFile  = new Filedir;	File dirFile = new File(dir);
i fdirFile.exists {	if (dirFile.exists()) {
if !dirFleisDirectory {	if (!dirFile.isDirectory()) {
JOptionPane.showMessageDialogSreenCaptureToo.this, "\"" +dir +  "\ is  notadirectory!,	JOptionPane.showMessageDialog(ScreenCaptureTool.this, "\"" + dir + "\" is not a directory!",
"Error",JOptonPane.RROR_MESSAGE;	"Error", JOptionPane.ERROR_MESSAGE);
}	}
}  else {	} else {
int ret  = JOptionPane.shwConfirmDialogScreenCaptureTool.this, "\"  + dir	int ret = JOptionPane.showConfirmDialog(ScreenCaptureTool.this, "\"" + dir
+ "\" is  not exists, do youwantto crate thisdirectoy?, "Hint",JOptionPane.YES_NO_OPTION	+ "\" is not exists, do you want to create this directory?", "Hint", JOptionPane.YES_NO_OPTION,
JOtionPane.QUESTION_MESSAGE;	JOptionPane.QUESTION_MESSAGE);
if ret == JOptionPane..YES_OPTION {	if (ret == JOptionPane.YES_OPTION) {
dirFilemkdirl;	dirFile.mkdir();
} else 1	} else {
return;	return;
}	}
}	}
String temp = fileName.toLowerCase;	String temp = fileName.toLowerCase();
if!temp..endsWth".jg" &  !temp.endsWith".jpg" l	if (!temp.endsWith(".jpeg") && !temp.endsWith(".jpg")) {
fileNme =  fileName +".jpg";	fileName = fileName + ".jpg";
}	}
if changeWidth > 0l	if (changeWidth > 0) {
BufferedImage sbi;;	BufferedImage sbi;
if drawHasFinish 1	if (drawHasFinish) {
sbi = bi.getSubimagechangeFirstPointX  changeFirstPointY, changeWidth,  changeHeight	sbi = bi.getSubimage(changeFirstPointX, changeFirstPointY, changeWidth, changeHeight);
} else  1	} else {
sbi = bi;	sbi = bi;
1	}
try {	try {
ImageIO.writesbi, "jpeg", ne FiledirFile, flName;	ImageIO.write(sbi, "jpeg", new File(dirFile, fileName));
} catch IOExceptin e1 {	} catch (IOException e1) {
e1.printStackTrace;	e1.printStackTrace();
}	}
	}
if exitAfterSaveFlagl  {	if (exitAfterSaveFlag) {
ystemexit0;	System.exit(0);
}	}
}	}
}	}
	
private class ImageTransferabl impleents  Transerable {	private class ImageTransferable implements Transferable {
public ImageTransferableImage imagef {	public ImageTransferable(Image image) {
theImage = image;	theImage = image;
}	}
public DataFlavor getTranferDatalavors l	public DataFlavor[] getTransferDataFlavors() {
return new DataFlavor1DatalavorimageFlavor}	return new DataFlavor[]{DataFlavor.imageFlavor};
	}
public boolean isDataFlavorSupportedDatalavor flavor  	public boolean isDataFlavorSupported(DataFlavor flavor) {
return flavor.equalsDataFlavor..imageFlavorf;	return flavor.equals(DataFlavor.imageFlavor);
}	}
public Object getTransferDatalDataFlavor flavor throws UnsupportedFlavorException  {	public Object getTransferData(DataFlavor flavor) throws UnsupportedFlavorException {
if  flavo.equalsDataFlavor.imageFlavor {	if (flavor.equals(DataFlavor.imageFlavor)) {
return theImage;;	return theImage;
} else {	} else {
throw new UnsupportedlavorExceptionlflavor;	throw new UnsupportedFlavorException(flavor);
l	}
}	}
private Image theImage;;	private Image theImage;
f	}
}	}
